code,p22lee,p22yoon,p22sim,p22etc,p22valid,p17moon,p17HY,p17Ahn,p17sim,p17etc,p17valid,r22lee,r22yoon,r22sim,r17moon,r17HYA,r17sim,d_the,d_kuk,d_sim,win22r,winner,wingap22,sec22r,sec22
1103069,1922,4562,131,55,6670,1928,3101,1678,358,1701,7088,0.288155922,0.683958021,0.01964018,0.272009029,0.674238149,0.050507901,0.016146893,0.009719872,-0.030867721,0.683958021,2,0.395802099,0.288155922,1
1103070,3554,4206,231,83,8074,3413,2753,2079,662,2120,8948,0.44017835,0.520931385,0.028610354,0.381426017,0.540008941,0.073983013,0.058752333,-0.019077556,-0.045372659,0.520931385,2,0.080753034,0.44017835,1
1104059,3669,4609,202,58,8538,3131,2167,1774,433,1801,7532,0.429725931,0.539821972,0.023658937,0.415693043,0.523234201,0.057488051,0.014032888,0.016587772,-0.033829114,0.539821972,2,0.110096041,0.429725931,1
1104072,5545,6659,320,94,12618,5609,3872,3258,836,3292,13609,0.439451577,0.527738152,0.025360596,0.412153722,0.523917995,0.061429936,0.027297855,0.003820156,-0.03606934,0.527738152,2,0.088286575,0.439451577,1
1104062,3727,5049,193,79,9048,3516,2571,1926,446,1963,8496,0.411914235,0.558023873,0.021330681,0.413841808,0.52930791,0.052495292,-0.001927573,0.028715963,-0.031164611,0.558023873,2,0.146109637,0.411914235,1
1104073,5114,9615,354,95,15178,6106,5188,3401,862,3447,15603,0.336935038,0.633482672,0.023323231,0.391335,0.550471063,0.055245786,-0.054399962,0.083011609,-0.031922555,0.633482672,2,0.296547635,0.336935038,1
1104058,4203,5082,250,61,9596,4167,2939,2184,567,2234,9907,0.437994998,0.529595665,0.026052522,0.420611689,0.517109115,0.05723226,0.017383309,0.01248655,-0.031179738,0.529595665,2,0.091600667,0.437994998,1
1104065,3419,5080,253,62,8814,4039,2777,2091,606,2141,9563,0.387905605,0.576355798,0.028704334,0.422357001,0.509045279,0.063369236,-0.034451396,0.067310519,-0.034664902,0.576355798,2,0.188450193,0.387905605,1
1104066,3735,4811,302,64,8912,4339,2780,2078,646,2116,9881,0.419097846,0.539833932,0.033886894,0.439125595,0.491650643,0.065377998,-0.020027749,0.048183289,-0.031491104,0.539833932,2,0.120736086,0.419097846,1
1104067,4280,5106,254,88,9728,4381,3210,2614,666,2658,10915,0.439967105,0.524876645,0.026110197,0.401374256,0.533577645,0.061016949,0.03859285,-0.008701001,-0.034906752,0.524876645,2,0.084909539,0.439967105,1
1104068,2790,3742,174,61,6767,2867,2190,1535,422,1551,7030,0.412294961,0.552977686,0.025713019,0.407823613,0.529871977,0.06002845,0.004471348,0.023105709,-0.03431543,0.552977686,2,0.140682725,0.412294961,1
1104071,6374,8326,436,100,15236,6550,4168,3507,942,3554,15214,0.418351273,0.546468889,0.028616435,0.430524517,0.504469568,0.061916656,-0.012173244,0.041999322,-0.033300221,0.546468889,2,0.128117616,0.418351273,1
1104052,4998,4916,337,88,10339,4308,2419,2230,662,2268,9657,0.483412322,0.475481188,0.032595029,0.446101274,0.481412447,0.06855131,0.037311049,-0.005931259,-0.035956281,0.483412322,1,0.007931135,0.475481188,2
1104056,3732,5021,264,60,9077,3676,2539,2028,547,2072,8834,0.411149058,0.553156329,0.029084499,0.416119538,0.516979851,0.061919855,-0.00497048,0.036176479,-0.032835356,0.553156329,2,0.142007271,0.411149058,1
