dong_cd,dong_nm
2405070,첨단2동
2405074,신가동
2405071,운남동
2405073,신창동
2405075,수완동
2405063,하남동
2405064,임곡동
2405065,동곡동
2405066,평동
2405067,삼도동
2405068,본량동
2501076,중앙동
2501077,신인동
2501053,효동
2501055,판암1동
2501056,판암2동
2501057,용운동
2501078,대동
2501060,자양동
2501063,가양1동
2501064,가양2동
2501065,용전동
2501079,성남동
2501068,홍도동
2501080,삼성동
2501073,대청동
2501075,산내동
2502051,은행선화동
2502053,목동
2502054,중촌동
2502055,대흥동
2502056,문창동
2502057,석교동
2502058,대사동
2502059,부사동
2502060,용두동
2502062,오류동
2502063,태평1동
2502064,태평2동
2502065,유천1동
2502066,유천2동
2502067,문화1동
2502068,문화2동
2502069,산성동
2503051,복수동
2503052,도마1동
2503053,도마2동
2503054,정림동
2503055,변동
2503056,용문동
2503057,탄방동
2503059,둔산1동
2503060,둔산2동
2503074,둔산3동
2503061,괴정동
2503062,가장동
2503063,내동
2503064,갈마1동
2503065,갈마2동
2503066,월평1동
2503067,월평2동
2503068,월평3동
2503069,만년동
2503070,가수원동
2503072,관저1동
2503073,관저2동
2503071,기성동
2504068,진잠동
2504064,온천1동
2504054,온천2동
2504059,노은1동
2504066,노은2동
2504055,신성동
2504057,전민동
2504061,구즉동
2504063,관평동
2504071,원신흥동
2504067,노은3동
2504069,학하동
2504070,상대동
2505051,오정동
2505052,대화동
2505053,회덕동
2505054,비래동
2505062,송촌동
2505055,중리동
2505056,법1동
2505057,법2동
2505058,신탄진동
2505059,석봉동
2505060,덕암동
2505061,목상동
2601051,학성동
2601052,반구1동
2601053,반구2동
2601054,복산1동
2601055,복산2동
2601066,성안동
2601067,중앙동
2601059,우정동
2601060,태화동
2601061,다운동
2601062,병영1동
2601063,병영2동
2601064,약사동
2602051,신정1동
2602052,신정2동
2602053,신정3동
2602054,신정4동
2602055,신정5동
2602056,달동
2602057,삼산동
2602058,삼호동
2602059,무거동
2602060,옥동
2602061,야음장생포동
2602062,대현동
2602063,수암동
2602064,선암동
2603051,방어동
2603052,일산동
2603053,화정동
2603054,대송동
2603055,전하1동
2603061,전하2동
2603058,남목1동
2603059,남목2동
2603060,남목3동
2604051,농소1동
2604052,농소2동
2604053,농소3동
2604054,강동동
2604056,효문동
2604057,송정동
2604058,양정동
2604059,염포동
2631011,온산읍
2631012,언양읍
2631013,온양읍
2631014,범서읍
2631031,서생면
2631034,웅촌면
2631036,두동면
2631037,두서면
2631038,상북면
2631040,삼동면
2631015,청량읍
2631016,삼남읍
3101154,파장동
3101155,율천동
3101156,정자1동
3101157,정자2동
3101162,정자3동
3101158,영화동
3101159,송죽동
3101160,조원1동
3101163,조원2동
3101161,연무동
3101252,세류1동
3101253,세류2동
3101254,세류3동
3101255,평동
3101256,서둔동
3101257,구운동
3101260,권선1동
3101264,권선2동
3101261,곡선동
3101262,입북동
3101265,금곡동
3101266,호매실동
3101372,행궁동
3101367,매교동
3101368,매산동
3101369,고등동
3101370,화서1동
3101371,화서2동
3101353,지동
3101354,우만1동
3101355,우만2동
3101356,인계동
3101451,매탄1동
3101452,매탄2동
3101453,매탄3동
3101454,매탄4동
3101460,원천동
3101464,영통1동
3101465,영통2동
3101462,광교1동
3101463,광교2동
3101466,영통3동
3101467,망포1동
3101468,망포2동
3102151,신흥1동
3102152,신흥2동
3102153,신흥3동
3102154,태평1동
3102155,태평2동
3102156,태평3동
3102157,태평4동
3102158,수진1동
3102159,수진2동
3102160,단대동
3102161,산성동
3102162,양지동
3102167,복정동
3102164,신촌동
3102165,고등동
3102166,시흥동
3102168,위례동
3102251,성남동
3102262,중앙동
3102253,금광1동
3102254,금광2동
3102255,은행1동
3102256,은행2동
3102257,상대원1동
3102258,상대원2동
3102259,상대원3동
3102260,하대원동
3102261,도촌동
3102351,분당동
3102353,수내1동
3102354,수내2동
3102352,수내3동
3102377,정자1동
3102355,정자2동
3102356,정자3동
3102358,서현1동
3102359,서현2동
3102360,이매1동
3102361,이매2동
3102362,야탑1동
3102364,야탑2동
3102363,야탑3동
3102371,금곡동
3102367,구미동
3102372,구미1동
3102375,판교동
3102374,삼평동
3102376,백현동
3102368,운중동
3102378,정자동
3103069,의정부1동
3103052,의정부2동
3103055,호원1동
3103065,호원2동
3103056,장암동
3103057,신곡1동
3103058,신곡2동
3103059,송산1동
3103070,송산2동
3103060,자금동
3103064,녹양동
3103067,흥선동
3103068,가능동
3103071,송산3동
3104151,안양1동
3104152,안양2동
3104153,안양3동
3104154,안양4동
3104155,안양5동
3104156,안양6동
3104157,안양7동
3104158,안양8동
3104159,안양9동
3104160,석수1동
3104161,석수2동
3104162,석수3동
3104163,박달1동
3104164,박달2동
3104251,비산1동
3104252,비산2동
3104253,비산3동
3104254,부흥동
3104255,달안동
3104256,관양1동
3104257,관양2동
3104258,부림동
3104259,평촌동
3104260,평안동
3104261,귀인동
3104262,호계1동
3104263,호계2동
3104264,호계3동
3104265,범계동
